min_u_wake,mean_u_wake,max_vorticity_magnitude,mean_vorticity_magnitude,wake_sign_changes,recirculation_length,wake_asymmetry,model_name
-0.057632435113191605,0.6914161443710327,12.021740913391113,2.4415555000305176,1,0.1892976588628763,0.009096264839172363,manual_lossset_01.keras
-0.07464907318353653,0.7060842514038086,11.831478118896484,2.7108707427978516,1,0.24949832775919734,0.03773903846740723,manual_lossset_02.keras
-0.058575339615345,0.6884757876396179,11.446572303771973,2.4114651679992676,1,0.18260869565217397,0.011328577995300293,manual_lossset_03.keras
-0.0155489481985569,0.6489960551261902,9.005131721496582,1.6703636646270752,1,0.0622073578595318,0.005494952201843262,manual_lossset_04.keras
-0.017389923334121704,0.6540277004241943,9.256372451782227,1.7692461013793945,1,0.06889632107023413,0.007033944129943848,manual_lossset_05.keras
-0.020578719675540924,0.6581916213035583,9.369356155395508,1.7467952966690063,1,0.06889632107023413,0.004740655422210693,manual_lossset_06.keras
-0.03957868739962578,0.6768350601196289,12.002711296081543,2.108901023864746,1,0.11571906354515049,0.018197298049926758,manual_lossset_07.keras
-0.03915014863014221,0.6741138696670532,11.61819839477539,1.9712247848510742,1,0.10234113712374582,0.005203425884246826,manual_lossset_08.keras
-0.05706208944320679,0.6931940317153931,11.991811752319336,2.454878091812134,1,0.1892976588628763,0.01119840145111084,manual_lossset_09.keras
-0.05733426660299301,0.6954879760742188,12.168301582336426,2.480637311935425,1,0.1892976588628763,0.015233874320983887,manual_lossset_10.keras
-0.04886926710605621,0.6851880550384521,12.429753303527832,2.197387218475342,1,0.12909698996655516,0.01288837194442749,manual_lossset_11.keras
-0.04631426930427551,0.6822519898414612,12.381074905395508,2.1654577255249023,1,0.12240802675585283,0.0137709379196167,manual_lossset_12.keras
-0.061728764325380325,0.6787688136100769,11.05728530883789,2.138338088989258,1,0.12909698996655516,9.876489639282227e-05,manual_lossset_13.keras
-0.044335007667541504,0.6862773299217224,11.893842697143555,2.3259544372558594,1,0.1558528428093645,0.015808820724487305,manual_lossset_14.keras
-0.053802311420440674,0.6933222413063049,11.835465431213379,2.4545798301696777,1,0.1892976588628763,0.009580731391906738,manual_lossset_15.keras
-0.0439101941883564,0.6779573559761047,12.493402481079102,1.9803279638290405,1,0.10234113712374582,0.015224993228912354,manual_lossset_16.keras
-0.0555146150290966,0.6706053018569946,10.795454978942871,1.9705369472503662,1,0.10903010033444815,0.006965994834899902,manual_lossset_17.keras
-0.03873095661401749,0.6668346524238586,10.965242385864258,1.8480092287063599,1,0.08896321070234114,0.004657089710235596,manual_lossset_18.keras
-0.04265851527452469,0.6813142895698547,12.199399948120117,2.1282241344451904,1,0.11571906354515049,0.010170400142669678,manual_lossset_19.keras
-0.0417209267616272,0.6644197106361389,9.498411178588867,1.9570934772491455,1,0.10234113712374582,0.011804938316345215,manual_lossset_20.keras
-0.0355650931596756,0.6657747626304626,10.645978927612305,1.862465262413025,1,0.08896321070234114,0.006421327590942383,manual_lossset_21.keras
-0.03664163127541542,0.6723295450210571,12.077959060668945,1.9472724199295044,1,0.09565217391304348,0.008796989917755127,manual_lossset_22.keras
-0.046985357999801636,0.6799410581588745,11.746655464172363,2.121799945831299,1,0.12240802675585283,0.00905311107635498,manual_lossset_23.keras
-0.043003059923648834,0.6735753417015076,10.679594039916992,2.053093910217285,1,0.10903010033444815,0.010906815528869629,manual_lossset_24.keras
-0.04456181824207306,0.6837785840034485,11.796224594116211,2.170306921005249,1,0.12240802675585283,0.009768903255462646,manual_lossset_25.keras
-0.044382497668266296,0.6773434281349182,12.141465187072754,2.0852231979370117,1,0.11571906354515049,0.014582395553588867,manual_lossset_26.keras
-0.044336821883916855,0.6759960055351257,11.026874542236328,2.0998125076293945,1,0.11571906354515049,0.004062771797180176,manual_lossset_27.keras
-0.046352192759513855,0.6952106356620789,12.364553451538086,2.4109432697296143,1,0.16254180602006685,0.016219794750213623,manual_lossset_28.keras
-0.04810352623462677,0.6832548975944519,12.450468063354492,2.180663824081421,1,0.12240802675585283,0.015674173831939697,manual_lossset_29.keras
-0.07163865864276886,0.6628857851028442,10.628180503845215,1.8478485345840454,1,0.10234113712374582,0.0040915608406066895,manual_lossset_30.keras
