cs,mae,rmse
0.3,0.13618018229872378,0.1501627788861404
0.35,0.11116905203103608,0.12176498830416581
0.4,0.08442421390143136,0.09681975385002253
0.45,0.07123468204885797,0.08111588427948224
0.5,0.04778097005812628,0.05544599846851376
0.55,0.027798007550241755,0.03463072139442416
0.6,0.01814828278650207,0.02495832475673964
0.65,0.02163438508735805,0.02575244257190456
0.7,0.026311054891420004,0.029828633043014315
0.75,0.029056419315835514,0.033257754683254405
