"arc_length","U_X"
0,-8.1192e-16
0.000999987,0.00947454
0.002,0.0189459
0.00299999,0.0284135
0.00400001,0.0378779
0.005,0.0473384
0.00600001,0.0567957
0.007,0.0662491
0.00799999,0.075699
0.009,0.0850647
0.00999999,0.0937294
0.011,0.102391
0.012,0.111049
0.013,0.119705
0.014,0.128356
0.015,0.137005
0.016,0.14565
0.017,0.154292
0.018,0.162778
0.019,0.170675
0.02,0.17857
0.021,0.186462
0.022,0.194351
0.023,0.202236
0.024,0.210119
0.025,0.217999
0.026,0.225875
0.027,0.233536
0.028,0.24072
0.029,0.247902
0.03,0.255081
0.031,0.262257
0.032,0.269431
0.033,0.276601
0.034,0.283769
0.035,0.290935
0.036,0.297839
0.037,0.304371
0.038,0.310901
0.039,0.317429
0.04,0.323954
0.041,0.330477
0.042,0.336998
0.043,0.343516
0.044,0.350031
0.045,0.356255
0.046,0.362203
0.047,0.368149
0.048,0.374091
0.049,0.380029
0.05,0.385965
0.051,0.391898
0.052,0.397829
0.053,0.403758
0.054,0.409381
0.055,0.41481
0.056,0.420237
0.057,0.425662
0.058,0.431085
0.059,0.436507
0.06,0.441926
0.061,0.447344
0.062,0.45276
0.063,0.457866
0.064,0.462848
0.065,0.467829
0.066,0.472807
0.067,0.477784
0.068,0.48276
0.069,0.487733
0.07,0.492705
0.071,0.497676
0.072,0.502346
0.073,0.506945
0.074,0.511543
0.075,0.516139
0.076,0.520734
0.077,0.525328
0.078,0.52992
0.079,0.534511
0.08,0.5391
0.081,0.543405
0.082,0.547681
0.083,0.551956
0.084,0.556229
0.085,0.560501
0.086,0.564771
0.087,0.569041
0.088,0.573309
0.089,0.577574
0.09,0.58158
0.091,0.585584
0.092,0.589587
0.093,0.593589
0.094,0.59759
0.095,0.60159
0.096,0.605589
0.097,0.609586
0.098,0.613561
0.099,0.61734
0.1,0.621118
0.101,0.624895
0.102,0.628671
0.103,0.632446
0.104,0.63622
0.105,0.639992
0.106,0.643764
0.107,0.6475
0.108,0.651091
0.109,0.65468
0.11,0.658269
0.111,0.661856
0.112,0.665443
0.113,0.669028
0.114,0.672613
0.115,0.676197
0.116,0.679737
0.117,0.68317
0.118,0.686602
0.119,0.690033
0.12,0.693463
0.121,0.696892
0.122,0.70032
0.123,0.703747
0.124,0.707174
0.125,0.710552
0.126,0.713852
0.127,0.717151
0.128,0.720449
0.129,0.723746
0.13,0.727042
0.131,0.730337
0.132,0.733632
0.133,0.736925
0.134,0.740169
0.135,0.743355
0.136,0.74654
0.137,0.749724
0.138,0.752907
0.139,0.75609
0.14,0.759271
0.141,0.762452
0.142,0.765631
0.143,0.76876
0.144,0.771846
0.145,0.774932
0.146,0.778017
0.147,0.781101
0.148,0.784184
0.149,0.787266
0.15,0.790347
0.151,0.793427
0.152,0.796455
0.153,0.799454
0.154,0.802451
0.155,0.805447
0.156,0.808442
0.157,0.811437
0.158,0.81443
0.159,0.817422
0.16,0.820412
0.161,0.823351
0.162,0.826269
0.163,0.829185
0.164,0.8321
0.165,0.835014
0.166,0.837927
0.167,0.840839
0.168,0.84375
0.169,0.846659
0.17,0.849514
0.171,0.852353
0.172,0.85519
0.173,0.858026
0.174,0.86086
0.175,0.863693
0.176,0.866525
0.177,0.869355
0.178,0.872184
0.179,0.874959
0.18,0.877725
0.181,0.880489
0.182,0.883252
0.183,0.886013
0.184,0.888772
0.185,0.891531
0.186,0.894287
0.187,0.897042
0.188,0.899742
0.189,0.902437
0.19,0.905131
0.191,0.907822
0.192,0.910512
0.193,0.9132
0.194,0.915887
0.195,0.918571
0.196,0.921254
0.197,0.923881
0.198,0.926507
0.199,0.929131
0.2,0.931752
0.201,0.934372
0.202,0.936989
0.203,0.939605
0.204,0.942218
0.205,0.944827
0.206,0.947385
0.207,0.949942
0.208,0.952496
0.209,0.955048
0.21,0.957597
0.211,0.960145
0.212,0.96269
0.213,0.965232
0.214,0.967767
0.215,0.970257
0.216,0.972744
0.217,0.975229
0.218,0.977711
0.219,0.980191
0.22,0.982668
0.221,0.985142
0.222,0.987614
0.223,0.990076
0.224,0.992497
0.225,0.994915
0.226,0.997331
0.227,0.999743
0.228,1.00215
0.229,1.00456
0.23,1.00696
0.231,1.00936
0.232,1.01175
0.233,1.0141
0.234,1.01645
0.235,1.0188
0.236,1.02114
0.237,1.02348
0.238,1.02581
0.239,1.02813
0.24,1.03045
0.241,1.03276
0.242,1.03504
0.243,1.03731
0.244,1.03957
0.245,1.04183
0.246,1.04409
0.247,1.04634
0.248,1.04859
0.249,1.05084
0.25,1.05307
0.251,1.05527
0.252,1.05747
0.253,1.05966
0.254,1.06184
0.255,1.06403
0.256,1.0662
0.257,1.06838
0.258,1.07054
0.259,1.0727
0.26,1.07482
0.261,1.07694
0.262,1.07906
0.263,1.08117
0.264,1.08327
0.265,1.08537
0.266,1.08746
0.267,1.08955
0.268,1.09162
0.269,1.09367
0.27,1.09571
0.271,1.09774
0.272,1.09977
0.273,1.10179
0.274,1.10381
0.275,1.10582
0.276,1.10782
0.277,1.10981
0.278,1.11177
0.279,1.11372
0.28,1.11567
0.281,1.1176
0.282,1.11953
0.283,1.12144
0.284,1.12334
0.285,1.12523
0.286,1.12711
0.287,1.12894
0.288,1.13077
0.289,1.13259
0.29,1.13441
0.291,1.13621
0.292,1.13801
0.293,1.13979
0.294,1.14157
0.295,1.14334
0.296,1.14503
0.297,1.14672
0.298,1.1484
0.299,1.15007
0.3,1.15173
0.301,1.15339
0.302,1.15504
0.303,1.15668
