"arc_length","U_X"
0,8.37787e-17
0.000999987,0.00857396
0.002,0.01714
0.00299999,0.0256977
0.00400001,0.0342473
0.005,0.0427884
0.00600001,0.0513214
0.007,0.0598457
0.00799999,0.0683616
0.009,0.0768157
0.00999999,0.0846662
0.011,0.0925096
0.012,0.100345
0.013,0.108174
0.014,0.115995
0.015,0.123808
0.016,0.131614
0.017,0.139413
0.018,0.147105
0.019,0.154285
0.02,0.161459
0.021,0.168626
0.022,0.175786
0.023,0.18294
0.024,0.190087
0.025,0.197228
0.026,0.204362
0.027,0.211353
0.028,0.217909
0.029,0.22446
0.03,0.231005
0.031,0.237543
0.032,0.244077
0.033,0.250604
0.034,0.257126
0.035,0.263642
0.036,0.269989
0.037,0.275977
0.038,0.28196
0.039,0.287938
0.04,0.293912
0.041,0.29988
0.042,0.305844
0.043,0.311802
0.044,0.317755
0.045,0.323524
0.046,0.329004
0.047,0.334481
0.048,0.339953
0.049,0.345421
0.05,0.350885
0.051,0.356344
0.052,0.361799
0.053,0.367249
0.054,0.372509
0.055,0.377544
0.056,0.382574
0.057,0.387601
0.058,0.392625
0.059,0.397644
0.06,0.40266
0.061,0.407672
0.062,0.41268
0.063,0.4175
0.064,0.422147
0.065,0.426791
0.066,0.431432
0.067,0.436069
0.068,0.440704
0.069,0.445335
0.07,0.449963
0.071,0.454587
0.072,0.459031
0.073,0.463346
0.074,0.467658
0.075,0.471967
0.076,0.476274
0.077,0.480578
0.078,0.484879
0.079,0.489177
0.08,0.493472
0.081,0.497599
0.082,0.501631
0.083,0.505661
0.084,0.509688
0.085,0.513713
0.086,0.517735
0.087,0.521755
0.088,0.525773
0.089,0.529789
0.09,0.53365
0.091,0.537443
0.092,0.541234
0.093,0.545023
0.094,0.54881
0.095,0.552595
0.096,0.556377
0.097,0.560157
0.098,0.563935
0.099,0.567575
0.1,0.571165
0.101,0.574754
0.102,0.57834
0.103,0.581924
0.104,0.585507
0.105,0.589087
0.106,0.592666
0.107,0.596242
0.108,0.599695
0.109,0.603112
0.11,0.606528
0.111,0.609941
0.112,0.613353
0.113,0.616763
0.114,0.620171
0.115,0.623577
0.116,0.626981
0.117,0.630275
0.118,0.633544
0.119,0.63681
0.12,0.640075
0.121,0.643338
0.122,0.646599
0.123,0.649858
0.124,0.653115
0.125,0.656371
0.126,0.659528
0.127,0.662665
0.128,0.665801
0.129,0.668936
0.13,0.672068
0.131,0.675198
0.132,0.678327
0.133,0.681453
0.134,0.684578
0.135,0.687614
0.136,0.690635
0.137,0.693655
0.138,0.696672
0.139,0.699687
0.14,0.702701
0.141,0.705712
0.142,0.708722
0.143,0.711729
0.144,0.714656
0.145,0.71757
0.146,0.720483
0.147,0.723394
0.148,0.726306
0.149,0.729217
0.15,0.732125
0.151,0.73503
0.152,0.737934
0.153,0.740764
0.154,0.743582
0.155,0.746398
0.156,0.749212
0.157,0.752023
0.158,0.754832
0.159,0.757639
0.16,0.760443
0.161,0.763245
0.162,0.765978
0.163,0.7687
0.164,0.771419
0.165,0.774136
0.166,0.77685
0.167,0.779561
0.168,0.782269
0.169,0.784975
0.17,0.787678
0.171,0.790318
0.172,0.792945
0.173,0.795569
0.174,0.79819
0.175,0.800808
0.176,0.803423
0.177,0.806034
0.178,0.808643
0.179,0.811249
0.18,0.813796
0.181,0.816328
0.182,0.818856
0.183,0.821381
0.184,0.823903
0.185,0.826421
0.186,0.828936
0.187,0.831447
0.188,0.833955
0.189,0.836408
0.19,0.838843
0.191,0.841274
0.192,0.843709
0.193,0.846141
0.194,0.848568
0.195,0.850992
0.196,0.853411
0.197,0.855827
0.198,0.858193
0.199,0.860536
0.2,0.862874
0.201,0.865209
0.202,0.867538
0.203,0.869864
0.204,0.872184
0.205,0.874501
0.206,0.876812
0.207,0.879081
0.208,0.88132
0.209,0.883554
0.21,0.885783
0.211,0.888007
0.212,0.890225
0.213,0.892439
0.214,0.894647
0.215,0.89685
0.216,0.899017
0.217,0.901147
