x,u
0.0,0.00026414543
0.005025125628140704,0.04310277
0.010050251256281407,0.08520937
0.01507537688442211,0.12658988
0.020100502512562814,0.16724582
0.02512562814070352,0.20717092
0.03015075376884422,0.24635948
0.035175879396984924,0.28480065
0.04020100502512563,0.32248157
0.04522613065326633,0.35938537
0.05025125628140704,0.39549893
0.05527638190954774,0.43079984
0.06030150753768844,0.46527165
0.06532663316582915,0.49889642
0.07035175879396985,0.5316582
0.07537688442211056,0.56353766
0.08040201005025126,0.59451693
0.08542713567839195,0.62458414
0.09045226130653267,0.6537195
0.09547738693467336,0.68190897
0.10050251256281408,0.70914304
0.10552763819095477,0.7354061
0.11055276381909548,0.76068723
0.11557788944723618,0.7849725
0.12060301507537688,0.808252
0.12562814070351758,0.83051956
0.1306532663316583,0.8517576
0.135678391959799,0.871964
0.1407035175879397,0.8911245
0.1457286432160804,0.90922946
0.15075376884422112,0.92627114
0.15577889447236182,0.94223946
0.16080402010050251,0.9571236
0.1658291457286432,0.9709136
0.1708542713567839,0.9836007
0.17587939698492464,0.9951727
0.18090452261306533,1.0056181
0.18592964824120603,1.0149301
0.19095477386934673,1.0230932
0.19597989949748745,1.0300981
0.20100502512562815,1.0359355
0.20603015075376885,1.040593
0.21105527638190955,1.044061
0.21608040201005024,1.0463322
0.22110552763819097,1.0473955
0.22613065326633167,1.047243
0.23115577889447236,1.0458702
0.23618090452261306,1.0432731
0.24120603015075376,1.0394479
0.24623115577889448,1.0343966
0.25125628140703515,1.0281161
0.2562814070351759,1.0206158
0.2613065326633166,1.0119044
0.2663316582914573,1.0019912
0.271356783919598,0.99089235
0.2763819095477387,0.97862643
0.2814070351758794,0.96521956
0.2864321608040201,0.9506939
0.2914572864321608,0.9350868
0.2964824120603015,0.91843253
0.30150753768844224,0.9007739
0.3065326633165829,0.8821584
0.31155778894472363,0.86263657
0.3165829145728643,0.8422654
0.32160804020100503,0.82110465
0.32663316582914576,0.7992207
0.3316582914572864,0.77668226
