"arc_length","U_X"
0,-4.87543e-16
0.000999987,0.0100859
0.002,0.020171
0.00299999,0.0302546
0.00400001,0.0403373
0.005,0.0504185
0.00600001,0.0604989
0.007,0.0705777
0.00799999,0.0806553
0.009,0.0906919
0.00999999,0.100282
0.011,0.109872
0.012,0.119461
0.013,0.12905
0.014,0.138638
0.015,0.148225
0.016,0.157812
0.017,0.167398
0.018,0.176906
0.019,0.186016
0.02,0.195126
0.021,0.204236
0.022,0.213346
0.023,0.222455
0.024,0.231565
0.025,0.240675
0.026,0.249784
0.027,0.258782
0.028,0.267425
0.029,0.276069
0.03,0.284713
0.031,0.293358
0.032,0.302003
0.033,0.310649
0.034,0.319295
0.035,0.327941
0.036,0.336446
0.037,0.344639
0.038,0.352833
0.039,0.361029
0.04,0.369225
0.041,0.377423
0.042,0.385621
0.043,0.39382
0.044,0.40202
0.045,0.41005
0.046,0.417811
0.047,0.425573
0.048,0.433336
0.049,0.4411
0.05,0.448866
0.051,0.456633
0.052,0.464402
0.053,0.472172
0.054,0.479747
0.055,0.487091
0.056,0.494436
0.057,0.501783
0.058,0.509131
0.059,0.516481
0.06,0.523834
0.061,0.531187
0.062,0.538543
0.063,0.545682
0.064,0.552625
0.065,0.55957
0.066,0.566517
0.067,0.573465
0.068,0.580416
0.069,0.587368
0.07,0.594323
0.071,0.601279
0.072,0.608002
0.073,0.614561
0.074,0.621121
0.075,0.627683
0.076,0.634248
0.077,0.640814
0.078,0.647383
0.079,0.653953
0.08,0.660526
0.081,0.666852
0.082,0.673041
0.083,0.679233
0.084,0.685426
0.085,0.691622
0.086,0.69782
0.087,0.704005
0.088,0.710173
0.089,0.716343
0.09,0.722254
0.091,0.728055
0.092,0.733857
0.093,0.739661
0.094,0.745467
0.095,0.751275
0.096,0.757084
0.097,0.762896
0.098,0.768709
0.099,0.774258
0.1,0.779717
0.101,0.785178
0.102,0.79064
0.103,0.796105
0.104,0.801571
0.105,0.807039
0.106,0.812508
0.107,0.81798
0.108,0.823184
0.109,0.828315
0.11,0.833448
0.111,0.838583
0.112,0.843719
0.113,0.848857
0.114,0.853997
0.115,0.859138
0.116,0.864281
0.117,0.869156
0.118,0.873972
0.119,0.878789
0.12,0.883608
0.121,0.888428
0.122,0.893249
0.123,0.898072
0.124,0.902897
0.125,0.907723
0.126,0.912281
0.127,0.916791
0.128,0.921303
0.129,0.925815
0.13,0.930329
0.131,0.934844
