"arc_length","U_X"
0,5.37528e-16
0.000999987,0.00721139
0.002,0.0144115
0.00299999,0.0215999
0.00400001,0.0287769
0.005,0.0359421
0.00600001,0.0430956
0.007,0.0502372
0.00799999,0.0573669
0.009,0.0644728
0.00999999,0.0713241
0.011,0.0781649
0.012,0.0849947
0.013,0.0918138
0.014,0.0986218
0.015,0.105419
0.016,0.112205
0.017,0.11898
0.018,0.125722
0.019,0.132239
0.02,0.138746
0.021,0.145243
0.022,0.15173
0.023,0.158207
0.024,0.164673
0.025,0.171129
0.026,0.177575
0.027,0.183981
0.028,0.190172
0.029,0.196353
0.03,0.202525
0.031,0.208688
0.032,0.214841
0.033,0.220985
0.034,0.227119
0.035,0.233244
0.036,0.239323
0.037,0.245197
0.038,0.251063
0.039,0.25692
0.04,0.262769
0.041,0.268609
0.042,0.27444
0.043,0.280262
0.044,0.286075
0.045,0.291838
0.046,0.297408
0.047,0.30297
0.048,0.308526
0.049,0.314076
0.05,0.319619
0.051,0.325154
0.052,0.33068
0.053,0.336198
0.054,0.341665
0.055,0.346949
0.056,0.352226
0.057,0.357496
0.058,0.362758
0.059,0.368012
0.06,0.373259
0.061,0.378498
0.062,0.38373
0.063,0.38891
0.064,0.393918
0.065,0.398919
0.066,0.403913
0.067,0.408899
0.068,0.413879
0.069,0.418852
0.07,0.423817
0.071,0.428775
0.072,0.433685
0.073,0.43843
0.074,0.443168
0.075,0.4479
0.076,0.452625
0.077,0.457344
0.078,0.462056
0.079,0.466761
0.08,0.471459
0.081,0.476113
0.082,0.480609
0.083,0.485099
0.084,0.489583
0.085,0.494061
0.086,0.498532
0.087,0.502997
0.088,0.507455
0.089,0.511907
0.09,0.516321
0.091,0.520581
0.092,0.524836
0.093,0.529085
0.094,0.533328
0.095,0.537565
0.096,0.541796
0.097,0.546021
0.098,0.55024
0.099,0.554433
0.1,0.558483
0.101,0.562528
0.102,0.566567
0.103,0.5706
0.104,0.574628
0.105,0.57865
0.106,0.582666
0.107,0.586676
0.108,0.590664
0.109,0.594504
0.11,0.598338
0.111,0.602167
0.112,0.60599
0.113,0.609808
0.114,0.61362
0.115,0.617427
0.116,0.621227
0.117,0.625015
0.118,0.628655
0.119,0.632289
0.12,0.635918
0.121,0.639541
0.122,0.643159
0.123,0.646771
0.124,0.650378
0.125,0.653979
0.126,0.657575
0.127,0.661027
0.128,0.66447
0.129,0.667907
0.13,0.67134
0.131,0.674766
0.132,0.678188
0.133,0.681603
0.134,0.685014
0.135,0.688418
0.136,0.691698
0.137,0.694957
0.138,0.698211
0.139,0.701464
0.14,0.704727
0.141,0.707984
0.142,0.711236
0.143,0.714483
0.144,0.717723
0.145,0.720859
0.146,0.723961
0.147,0.727057
0.148,0.730147
0.149,0.733232
0.15,0.736311
0.151,0.739385
0.152,0.742453
0.153,0.745516
0.154,0.748494
0.155,0.751422
0.156,0.754344
0.157,0.75726
0.158,0.760171
0.159,0.763076
0.16,0.765976
0.161,0.768869
0.162,0.771757
0.163,0.774581
0.164,0.777337
0.165,0.780088
0.166,0.782833
0.167,0.785572
0.168,0.788305
0.169,0.791032
0.17,0.793752
0.171,0.796467
0.172,0.799152
0.173,0.801766
0.174,0.804375
0.175,0.806977
0.176,0.809572
0.177,0.812162
0.178,0.814745
0.179,0.817321
0.18,0.819892
0.181,0.822446
0.182,0.824888
0.183,0.827324
0.184,0.829754
0.185,0.832176
0.186,0.834592
0.187,0.837001
0.188,0.839404
0.189,0.841799
0.19,0.844187
0.191,0.846474
0.192,0.848734
0.193,0.850987
0.194,0.853233
0.195,0.855472
0.196,0.857703
0.197,0.859927
0.198,0.862144
0.199,0.864356
0.2,0.866533
0.201,0.868649
0.202,0.870758
0.203,0.872859
0.204,0.874952
0.205,0.877038
0.206,0.879115
0.207,0.881184
0.208,0.883246
0.209,0.885276
0.21,0.887204
0.211,0.889123
0.212,0.891034
0.213,0.892936
0.214,0.89483
0.215,0.896716
0.216,0.898593
0.217,0.900461
0.218,0.90232
0.219,0.904073
0.22,0.905792
0.221,0.907503
0.222,0.909205
0.223,0.910939
0.224,0.912669
0.225,0.914389
0.226,0.9161
0.227,0.917801
0.228,0.919448
0.229,0.921003
0.23,0.922548
0.231,0.924082
0.232,0.925607
0.233,0.927122
0.234,0.928626
0.235,0.93012
0.236,0.931604
0.237,0.933077
0.238,0.934428
0.239,0.935745
0.24,0.937051
0.241,0.938346
0.242,0.93963
0.243,0.940954
0.244,0.942272
0.245,0.943579
0.246,0.944873
0.247,0.946127
0.248,0.947253
0.249,0.948368
0.25,0.94947
0.251,0.950561
0.252,0.95164
0.253,0.952706
0.254,0.953761
0.255,0.954803
0.256,0.955832
0.257,0.95677
0.258,0.957615
0.259,0.958448
0.26,0.959298
0.261,0.96017
0.262,0.961029
0.263,0.961875
0.264,0.962707
0.265,0.963526
0.266,0.964331
0.267,0.965006
0.268,0.965607
0.269,0.966195
0.27,0.966768
0.271,0.967328
0.272,0.967874
0.273,0.968405
0.274,0.968921
0.275,0.969425
0.276,0.969986
0.277,0.970396
0.278,0.970731
0.279,0.971051
0.28,0.971355
0.281,0.971645
0.282,0.971919
0.283,0.972177
0.284,0.97242
0.285,0.972646
0.286,0.972857
0.287,0.972928
0.288,0.972882
0.289,0.972838
0.29,0.972844
0.291,0.972834
0.292,0.972807
0.293,0.972764
0.294,0.972703
0.295,0.972626
0.296,0.972531
0.297,0.972366
0.298,0.971978
0.299,0.971573
0.3,0.971151
0.301,0.970712
0.302,0.970325
0.303,0.969944
0.304,0.969545
0.305,0.969128
0.306,0.968692
0.307,0.968238
0.308,0.967583
0.309,0.966789
0.31,0.965979
0.311,0.96515
0.312,0.964304
0.313,0.963483
0.314,0.962707
0.315,0.961911
0.316,0.961097
0.317,0.960263
0.318,0.959409
0.319,0.958291
0.32,0.957041
0.321,0.955773
0.322,0.954486
0.323,0.953182
0.324,0.951977
0.325,0.950755
0.326,0.949513
0.327,0.948251
0.328,0.946968
0.329,0.945665
0.33,0.944184
0.331,0.942411
0.332,0.940619
0.333,0.938825
0.334,0.937045
0.335,0.935248
0.336,0.933434
0.337,0.931602
0.338,0.929752
0.339,0.927885
0.34,0.926
0.341,0.924097
0.342,0.92188
0.343,0.919366
0.344,0.916825
0.345,0.914258
0.346,0.911665
0.347,0.909046
0.348,0.9064
0.349,0.903727
0.35,0.901027
0.351,0.898707
0.352,0.896363
0.353,0.893996
0.354,0.891605
0.355,0.889191
0.356,0.886753
0.357,0.88429
0.358,0.881803
0.359,0.878992
0.36,0.876137
0.361,0.873252
0.362,0.870337
0.363,0.867204
0.364,0.864015
0.365,0.860794
0.366,0.857529
0.367,0.854056
0.368,0.850554
0.369,0.847023
0.37,0.843462
0.371,0.839872
0.372,0.836252
0.373,0.832602
0.374,0.828883
0.375,0.82506
0.376,0.821206
0.377,0.817323
0.378,0.81341
0.379,0.809466
0.38,0.805492
0.381,0.801487
0.382,0.797377
0.383,0.793215
0.384,0.789024
0.385,0.784802
0.386,0.780549
0.387,0.776266
0.388,0.771952
0.389,0.767582
0.39,0.763137
0.391,0.758662
0.392,0.754158
0.393,0.749623
0.394,0.745057
0.395,0.740461
0.396,0.735831
0.397,0.731135
0.398,0.726411
0.399,0.721657
0.4,0.716873
0.401,0.712059
0.402,0.707215
0.403,0.702189
0.404,0.697068
0.405,0.691921
0.406,0.686746
0.407,0.681545
0.408,0.676316
0.409,0.671059
0.41,0.665774
0.411,0.660514
0.412,0.65523
0.413,0.64992
0.414,0.644584
0.415,0.639222
0.416,0.633834
0.417,0.628432
0.418,0.623092
0.419,0.617728
0.42,0.61234
0.421,0.606928
0.422,0.601491
0.423,0.59603
0.424,0.590607
0.425,0.585249
0.426,0.57987
0.427,0.574468
0.428,0.569045
0.429,0.563598
0.43,0.558129
0.431,0.552808
0.432,0.547504
0.433,0.542179
0.434,0.536835
0.435,0.531471
0.436,0.526086
0.437,0.520772
0.438,0.515615
0.439,0.51044
0.44,0.505247
0.441,0.500037
0.442,0.494808
0.443,0.489562
0.444,0.484617
0.445,0.479666
0.446,0.4747
0.447,0.469719
0.448,0.464722
0.449,0.45971
0.45,0.454956
0.451,0.450306
0.452,0.445643
0.453,0.440935
0.454,0.436146
0.455,0.431347
0.456,0.426778
0.457,0.422423
0.458,0.41806
0.459,0.413689
0.46,0.40931
0.461,0.404923
0.462,0.400745
0.463,0.396864
0.464,0.392976
0.465,0.389082
0.466,0.385183
0.467,0.381277
0.468,0.377586
0.469,0.374242
0.47,0.370894
0.471,0.367541
0.472,0.364184
0.473,0.360823
0.474,0.357715
0.475,0.354965
0.476,0.352214
0.477,0.349459
0.478,0.346702
0.479,0.343942
0.48,0.341503
0.481,0.339397
0.482,0.337289
0.483,0.33518
0.484,0.333069
0.485,0.330957
0.486,0.329263
0.487,0.327837
0.488,0.326411
0.489,0.324984
0.49,0.323556
0.491,0.322127
0.492,0.321234
0.493,0.320514
0.494,0.319794
0.495,0.319074
0.496,0.318354
0.497,0.317634
0.498,0.317574
0.499,0.317574
0.5,0.317574
0.501,0.317574
0.502,0.317574
0.503,0.317634
0.504,0.318354
0.505,0.319074
0.506,0.319794
0.507,0.320514
0.508,0.321234
0.509,0.322127
0.51,0.323556
0.511,0.324984
0.512,0.326411
0.513,0.327837
0.514,0.329263
0.515,0.330957
0.516,0.333069
0.517,0.33518
0.518,0.337289
0.519,0.339397
0.52,0.341503
0.521,0.343942
0.522,0.346702
0.523,0.349459
0.524,0.352214
0.525,0.354965
0.526,0.357715
0.527,0.360823
0.528,0.364184
0.529,0.367541
0.53,0.370894
0.531,0.374242
0.532,0.377586
0.533,0.381277
0.534,0.385183
0.535,0.389082
0.536,0.392976
0.537,0.396864
0.538,0.400745
0.539,0.404923
0.54,0.40931
0.541,0.413689
0.542,0.41806
0.543,0.422423
0.544,0.426778
0.545,0.431347
0.546,0.436146
0.547,0.440935
0.548,0.445643
0.549,0.450306
0.55,0.454956
0.551,0.45971
0.552,0.464722
0.553,0.469719
0.554,0.4747
0.555,0.479666
0.556,0.484617
0.557,0.489562
0.558,0.494808
0.559,0.500037
0.56,0.505247
0.561,0.51044
0.562,0.515615
0.563,0.520772
0.564,0.526086
0.565,0.531471
0.566,0.536835
0.567,0.542179
0.568,0.547504
0.569,0.552808
0.57,0.558129
0.571,0.563598
0.572,0.569045
0.573,0.574468
0.574,0.57987
0.575,0.585249
0.576,0.590607
0.577,0.59603
0.578,0.601491
0.579,0.606928
0.58,0.61234
0.581,0.617728
0.582,0.623092
0.583,0.628432
0.584,0.633834
0.585,0.639222
0.586,0.644584
0.587,0.64992
0.588,0.65523
0.589,0.660514
0.59,0.665774
0.591,0.671059
0.592,0.676316
0.593,0.681545
0.594,0.686746
0.595,0.691921
0.596,0.697068
0.597,0.702189
0.598,0.707215
0.599,0.712059
0.6,0.716873
0.601,0.721657
0.602,0.726411
0.603,0.731135
0.604,0.735831
0.605,0.740461
0.606,0.745057
0.607,0.749623
0.608,0.754158
0.609,0.758662
0.61,0.763137
0.611,0.767582
0.612,0.771952
0.613,0.776266
0.614,0.780549
0.615,0.784802
0.616,0.789024
0.617,0.793215
0.618,0.797377
0.619,0.801487
0.62,0.805492
0.621,0.809466
0.622,0.81341
0.623,0.817323
0.624,0.821206
0.625,0.82506
0.626,0.828883
0.627,0.832602
0.628,0.836252
0.629,0.839872
0.63,0.843462
0.631,0.847023
0.632,0.850554
0.633,0.854056
0.634,0.857529
0.635,0.860794
0.636,0.864015
0.637,0.867204
0.638,0.870337
0.639,0.873252
0.64,0.876137
0.641,0.878992
0.642,0.881803
0.643,0.88429
0.644,0.886753
0.645,0.889191
0.646,0.891605
0.647,0.893996
0.648,0.896363
0.649,0.898707
0.65,0.901027
0.651,0.903727
0.652,0.9064
0.653,0.909046
0.654,0.911665
0.655,0.914258
0.656,0.916825
0.657,0.919366
0.658,0.92188
0.659,0.924097
0.66,0.926
0.661,0.927885
0.662,0.929752
0.663,0.931602
0.664,0.933434
0.665,0.935248
0.666,0.937045
0.667,0.938825
0.668,0.940619
0.669,0.942411
0.67,0.944184
0.671,0.945665
0.672,0.946968
0.673,0.948251
0.674,0.949513
0.675,0.950755
0.676,0.951977
0.677,0.953182
0.678,0.954486
0.679,0.955773
0.68,0.957041
0.681,0.958291
0.682,0.959409
0.683,0.960263
0.684,0.961097
0.685,0.961911
0.686,0.962707
0.687,0.963483
0.688,0.964304
0.689,0.96515
0.69,0.965979
0.691,0.966789
0.692,0.967583
0.693,0.968238
0.694,0.968692
0.695,0.969128
0.696,0.969545
0.697,0.969944
0.698,0.970325
0.699,0.970712
0.7,0.971151
0.701,0.971573
0.702,0.971978
0.703,0.972366
0.704,0.972531
0.705,0.972626
0.706,0.972703
0.707,0.972764
0.708,0.972807
0.709,0.972834
0.71,0.972844
0.711,0.972838
0.712,0.972882
0.713,0.972928
0.714,0.972857
0.715,0.972646
0.716,0.97242
0.717,0.972177
0.718,0.971919
0.719,0.971645
0.72,0.971355
0.721,0.971051
0.722,0.970731
0.723,0.970396
0.724,0.969986
0.725,0.969425
0.726,0.968921
0.727,0.968405
0.728,0.967874
0.729,0.967328
0.73,0.966768
0.731,0.966195
0.732,0.965607
0.733,0.965006
0.734,0.964331
0.735,0.963526
0.736,0.962707
0.737,0.961875
0.738,0.961029
0.739,0.96017
0.74,0.959298
0.741,0.958448
0.742,0.957615
0.743,0.95677
0.744,0.955832
0.745,0.954803
0.746,0.953761
0.747,0.952706
0.748,0.95164
0.749,0.950561
0.75,0.94947
0.751,0.948368
0.752,0.947253
0.753,0.946127
0.754,0.944873
0.755,0.943579
0.756,0.942272
0.757,0.940954
0.758,0.93963
0.759,0.938346
0.76,0.937051
0.761,0.935745
0.762,0.934428
0.763,0.933077
0.764,0.931604
0.765,0.93012
0.766,0.928626
0.767,0.927122
0.768,0.925607
0.769,0.924082
0.77,0.922548
0.771,0.921003
0.772,0.919448
0.773,0.917801
0.774,0.9161
0.775,0.914389
0.776,0.912669
0.777,0.910939
0.778,0.909205
0.779,0.907503
0.78,0.905792
0.781,0.904073
0.782,0.90232
0.783,0.900461
0.784,0.898593
0.785,0.896716
0.786,0.89483
0.787,0.892936
0.788,0.891034
0.789,0.889123
0.79,0.887204
0.791,0.885276
0.792,0.883246
0.793,0.881184
0.794,0.879115
0.795,0.877038
0.796,0.874952
0.797,0.872859
0.798,0.870758
0.799,0.868649
0.8,0.866533
0.801,0.864356
0.802,0.862144
0.803,0.859927
0.804,0.857703
0.805,0.855472
0.806,0.853233
0.807,0.850987
0.808,0.848734
0.809,0.846474
0.81,0.844187
0.811,0.841799
0.812,0.839404
0.813,0.837001
0.814,0.834592
0.815,0.832176
0.816,0.829754
0.817,0.827324
0.818,0.824888
0.819,0.822446
0.82,0.819892
0.821,0.817321
0.822,0.814745
0.823,0.812162
0.824,0.809572
0.825,0.806977
0.826,0.804375
0.827,0.801766
0.828,0.799152
0.829,0.796467
0.83,0.793752
0.831,0.791032
0.832,0.788305
0.833,0.785572
0.834,0.782833
0.835,0.780088
0.836,0.777337
0.837,0.774581
0.838,0.771757
0.839,0.768869
0.84,0.765976
0.841,0.763076
0.842,0.760171
0.843,0.75726
0.844,0.754344
0.845,0.751422
0.846,0.748494
0.847,0.745516
0.848,0.742453
0.849,0.739385
0.85,0.736311
0.851,0.733232
0.852,0.730147
0.853,0.727057
0.854,0.723961
0.855,0.720859
0.856,0.717723
0.857,0.714483
0.858,0.711236
0.859,0.707984
0.86,0.704727
0.861,0.701464
0.862,0.698211
0.863,0.694957
0.864,0.691698
0.865,0.688418
0.866,0.685014
0.867,0.681603
0.868,0.678188
0.869,0.674766
0.87,0.67134
0.871,0.667907
0.872,0.66447
0.873,0.661027
0.874,0.657575
0.875,0.653979
0.876,0.650378
0.877,0.646771
0.878,0.643159
0.879,0.639541
0.88,0.635918
0.881,0.632289
0.882,0.628655
0.883,0.625015
0.884,0.621227
0.885,0.617427
0.886,0.61362
0.887,0.609808
0.888,0.60599
0.889,0.602167
0.89,0.598338
0.891,0.594504
0.892,0.590664
0.893,0.586676
0.894,0.582666
0.895,0.57865
0.896,0.574628
0.897,0.5706
0.898,0.566567
0.899,0.562528
0.9,0.558483
0.901,0.554433
0.902,0.55024
0.903,0.546021
0.904,0.541796
0.905,0.537565
0.906,0.533328
0.907,0.529085
0.908,0.524836
0.909,0.520581
0.91,0.516321
0.911,0.511907
0.912,0.507455
0.913,0.502997
0.914,0.498532
0.915,0.494061
0.916,0.489583
0.917,0.485099
0.918,0.480609
0.919,0.476113
0.92,0.471459
0.921,0.466761
0.922,0.462056
0.923,0.457344
0.924,0.452625
0.925,0.4479
0.926,0.443168
0.927,0.43843
0.928,0.433685
0.929,0.428775
0.93,0.423817
0.931,0.418852
0.932,0.413879
0.933,0.408899
0.934,0.403913
0.935,0.398919
0.936,0.393918
0.937,0.38891
0.938,0.38373
0.939,0.378498
0.94,0.373259
0.941,0.368012
0.942,0.362758
0.943,0.357496
0.944,0.352226
0.945,0.346949
0.946,0.341665
0.947,0.336198
0.948,0.33068
0.949,0.325154
0.95,0.319619
0.951,0.314076
0.952,0.308526
0.953,0.30297
0.954,0.297408
0.955,0.291838
0.956,0.286075
0.957,0.280262
0.958,0.27444
0.959,0.268609
0.96,0.262769
0.961,0.25692
0.962,0.251063
0.963,0.245197
0.964,0.239323
0.965,0.233244
0.966,0.227119
0.967,0.220985
0.968,0.214841
0.969,0.208688
0.97,0.202525
0.971,0.196353
0.972,0.190172
0.973,0.183981
0.974,0.177575
0.975,0.171129
0.976,0.164673
0.977,0.158207
0.978,0.15173
0.979,0.145243
0.98,0.138746
0.981,0.132239
0.982,0.125722
0.983,0.11898
0.984,0.112205
0.985,0.105419
0.986,0.0986218
0.987,0.0918138
0.988,0.0849947
0.989,0.0781649
0.99,0.0713241
0.991,0.0644728
0.992,0.0573669
0.993,0.0502372
0.994,0.0430956
0.995,0.0359421
0.996,0.0287769
0.997,0.0215999
0.998,0.0144115
0.999,0.00721139
1,5.37528e-16
