Model,x=0.3,x=0.35,x=0.4,x=0.6,x=0.7,x=0.75,Mean
Data-Driven (tanh),0.018229816030243765,0.015258194395064715,0.022485498904041883,0.07745803886067829,0.06870275078421778,0.0664991995194334,0.044772249748946634
Data-Driven (SIREN),0.03857249768206054,0.03533646018748889,0.04167872754595079,0.06113618268581198,0.07490362405692969,0.08133967723586585,0.05549452823235129
Data-Free (base),0.1680031816644165,0.15421726549170037,0.14444722557974354,0.07555278261939607,0.09518009429868979,0.1186041080784977,0.12600077628874065
Data-Free (weighted-loss),0.1433688513347774,0.1323710024676513,0.1235569916086707,0.08300289634949891,0.13893912077706994,0.16188050251110433,0.13051989417479545
