Model,x=0.3,x=0.35,x=0.4,x=0.6,x=0.7,x=0.75,Mean
Data-Driven (tanh),0.0256597844674724,0.025166555296984736,0.032172460697945285,0.11515832030633215,0.09010628412312516,0.08327598402951308,0.06192323148689547
Data-Driven (SIREN),0.04300680040452599,0.04008562463421815,0.04704282661099034,0.07752401888907144,0.09374793696539005,0.10127004187036388,0.06711287489575998
Data-Free (base),0.18816597957851877,0.1721148973604334,0.17133344318551116,0.0981194761608119,0.1261808165168902,0.1514074745612134,0.15122034789389646
Data-Free (weighted-loss),0.16914628334560344,0.15714998562450908,0.16248002237271963,0.12635147767729804,0.16139832222860717,0.18414915870636003,0.1601125416591829
