Model,x=0.3,x=0.35,x=0.4,x=0.6,x=0.7,x=0.75,Mean
Data-Driven (SIREN),0.07502290606498718,0.09637606143951359,0.1328783929347991,0.28315156698226984,0.30721861124038696,0.3125758171081555,0.20120389262835203
Data-Driven (tanh),0.1167551577091217,0.13872480392456,0.15855300426483146,0.3911285922431944,0.26071181893348694,0.2581143379211438,0.2206646191660564
Data-Free (base),0.2886704671211243,0.2542234085769654,0.33377247731399545,0.22967077324390373,0.2306295772994995,0.32295495839862826,0.2766536103256861
Data-Free (weighted-loss),0.29959887526702883,0.2721206466002464,0.3665181723089215,0.3206601129865646,0.2999546061992645,0.3149676980271816,0.31230335189820124
