Model,x=0.3,x=0.35,x=0.4,x=0.6,x=0.7,x=0.75,Mean
Data-Driven (SIREN),0.04837630792236325,0.05080189180755612,0.040161740646362354,0.032581281280517516,0.055903900871276946,0.06525142921447746,0.048846091957092275
Data-Free (base),0.041565881210327116,0.04823042822265622,0.029398691520690967,0.07310326061248773,0.1136829745864869,0.13457318080902092,0.07342573616027831
Data-Free (weighted-loss),0.02816231445693973,0.021561246391296418,0.04355697645187373,0.16359872779846185,0.20281695247650156,0.22266038192749016,0.11372609991709391
Data-Driven (tanh),0.02242575688934323,0.019161481384277312,0.040494334564209034,0.3283792022705079,0.17514301418304434,0.12551776634216316,0.1185202592722575
