Model,MAE,RMSE,Max Diff,Peak Diff
Data-Driven (tanh),0.0664991995194334,0.08327598402951308,0.2581143379211438,0.12551776634216316
Data-Driven (SIREN),0.08133967723586585,0.10127004187036388,0.3125758171081555,0.06525142921447746
Data-Free (base),0.1186041080784977,0.1514074745612134,0.32295495839862826,0.13457318080902092
Data-Free (weighted-loss),0.16188050251110433,0.18414915870636003,0.3149676980271816,0.22266038192749016
