Model,MAE,RMSE,Max Diff,Peak Diff
Data-Driven (tanh),0.015258194395064715,0.025166555296984736,0.13872480392456,0.019161481384277312
Data-Driven (SIREN),0.03533646018748889,0.04008562463421815,0.09637606143951359,0.05080189180755612
Data-Free (weighted-loss),0.1323710024676513,0.15714998562450908,0.2721206466002464,0.021561246391296418
Data-Free (base),0.15421726549170037,0.1721148973604334,0.2542234085769654,0.04823042822265622
